sex,smoker,day,time,size, total_bill ,tip,sex_numeric,smoker_numeric,day_fri,day_sat,day_sun,time_numeric,predict,squared error,,Correlation,,,,,,,,,,SUMMARY OUTPUT,,,,,,,,
Female,No,Sun,Dinner,2, $16.99 ,1.01,0,0,0,0,1,1,3.109724536,4.41,,size,total_bill,tip,sex_numeric,smoker_numeric,day_fri,day_sat,day_sun,time_numeric,,,,,,,,,,
Male,No,Sun,Dinner,2, $15.04 ,1.96,1,0,0,0,1,1,3.286489853,1.76,size,1,,,,,,,,,,Regression Statistics,,,,,,,,
Male,No,Sun,Dinner,2, $14.78 ,3.23,1,0,0,0,1,1,3.286489853,0.00,total_bill,0.600297668,1,,,,,,,,,Multiple R,0.165493777,,,,,,,
Male,No,Sun,Dinner,2, $10.27 ,1.71,1,0,0,0,1,1,3.286489853,2.49,tip,0.488799632,0.672515871,1,,,,,,,,R Square,0.02738819,,,,,,,
Female,No,Sun,Dinner,4, $35.26 ,5.00,0,0,0,0,1,1,3.109724536,3.57,sex_numeric,0.085456765,0.148169992,0.088609778,1,,,,,,,Adjusted R Square,0.001904911,,,,,,,
Male,No,Sun,Dinner,2, $15.42 ,1.57,1,0,0,0,1,1,3.286489853,2.95,smoker_numeric,-0.119708415,0.092460625,0.012093717,0.02055236,1,,,,,,Standard Error,1.39434793,,,,,,,
Male,No,Sun,Dinner,4, $18.43 ,3.00,1,0,0,0,1,1,3.286489853,0.08,day_fri,-0.140341044,-0.087811561,-0.056061582,-0.06997021,0.242468976,1,,,,,Observations,236,,,,,,,
Female,No,Sun,Dinner,2, $14.83 ,3.02,0,0,0,0,1,1,3.109724536,0.01,day_sat,-0.030489741,0.054282026,-0.003016668,0.061013233,0.145596337,-0.226106697,1,,,,,,,,,,,,
Male,No,Sun,Dinner,2, $21.58 ,3.92,1,0,0,0,1,1,3.286489853,0.40,day_sun,0.173846986,0.124966398,0.124256063,0.152368328,-0.150864816,-0.190201196,-0.491171096,1,,,ANOVA,,,,,,,,
Female,No,Sun,Dinner,3, $10.33 ,1.67,0,0,0,0,1,1,3.109724536,2.07,time_numeric,0.091067679,0.181269077,0.117385201,0.193192738,0.079361588,-0.055469186,0.481127899,0.404725305,1,,,df,SS,MS,F,Significance F,,,
Male,No,Sun,Dinner,3, $16.29 ,3.71,1,0,0,0,1,1,3.286489853,0.18,,,,,,,,,,,,Regression,6,12.53722997,2.089538328,1.074751423,0.37837853,,,
Female,No,Sun,Dinner,3, $16.97 ,3.50,0,0,0,0,1,1,3.109724536,0.15,,,,,,,,,,,,Residual,229,445.2232086,1.944206151,,,,,
Male,No,Sat,Dinner,3, $20.65 ,3.35,1,0,0,1,0,1,3.006361952,0.12,,,,,,,,,,,,Total,235,457.7604386,,,,,,
Male,No,Sat,Dinner,2, $17.92 ,4.08,1,0,0,1,0,1,3.006361952,1.15,,,,,,,,,,,,,,,,,,,,
Female,No,Sat,Dinner,2, $20.29 ,2.75,0,0,0,1,0,1,2.829596635,0.01,,,,,,,,,,,,,Coefficients,Standard Error,t Stat,P-value,Lower 95%,Upper 95%,Lower 95%,Upper 95%
Female,No,Sat,Dinner,2, $15.77 ,2.23,0,0,0,1,0,1,2.829596635,0.36,,,,,,,,,,,,Intercept,2.665233762,0.20846525,12.7850266,1.32E-28,2.25447858,3.075988943,2.25447858,3.075988943
Male,No,Sat,Dinner,4, $39.42 ,7.58,1,0,0,1,0,1,3.006361952,20.92,,,,,,,,,,,,sex_numeric,0.176765317,0.193858477,0.911826607,0.362818878,-0.205209012,0.558739646,-0.205209012,0.558739646
Male,No,Sat,Dinner,2, $19.82 ,3.18,1,0,0,1,0,1,3.006361952,0.03,,,,,,,,,,,,smoker_numeric,0.090379502,0.196578247,0.459763495,0.646122143,-0.2969538,0.477712804,-0.2969538,0.477712804
Male,No,Sat,Dinner,4, $17.81 ,2.34,1,0,0,1,0,1,3.006361952,0.44,,,,,,,,,,,,day_fri,-0.411752365,0.533621718,-0.771618454,0.441135953,-1.463188448,0.639683718,-1.463188448,0.639683718
Male,No,Sat,Dinner,2, $13.37 ,2.00,1,0,0,1,0,1,3.006361952,1.01,,,,,,,,,,,,day_sat,-0.337346107,0.638629033,-0.528234843,0.597847845,-1.595686213,0.920993999,-1.595686213,0.920993999
Male,No,Sat,Dinner,2, $12.69 ,2.00,1,0,0,1,0,1,3.006361952,1.01,,,,,,,,,,,,day_sun,-0.057218206,0.640917192,-0.089275505,0.928940959,-1.320066849,1.205630437,-1.320066849,1.205630437
Male,No,Sat,Dinner,2, $21.70 ,4.30,1,0,0,1,0,1,3.006361952,1.67,,,,,,,,,,,,time_numeric,0.50170898,0.600418672,0.835598563,0.404251761,-0.681342301,1.68476026,-0.681342301,1.68476026
Female,No,Sat,Dinner,2, $19.65 ,3.00,0,0,0,1,0,1,2.829596635,0.03,,,,,,,,,,,,,,,,,,,,
Male,No,Sat,Dinner,2, $9.55 ,1.45,1,0,0,1,0,1,3.006361952,2.42,,,,,,,,,,,,,,,,,,,,
Male,No,Sat,Dinner,4, $18.35 ,2.50,1,0,0,1,0,1,3.006361952,0.26,,,,,,,,,,,,,,,,,,,,
Female,No,Sat,Dinner,2, $15.06 ,3.00,0,0,0,1,0,1,2.829596635,0.03,,,,,,,,,,,,RESIDUAL OUTPUT,,,,,PROBABILITY OUTPUT,,,
Female,No,Sat,Dinner,4, $20.69 ,2.45,0,0,0,1,0,1,2.829596635,0.14,,,,,,,,,,,,,,,,,,,,
Male,No,Sat,Dinner,2, $17.78 ,3.27,1,0,0,1,0,1,3.006361952,0.07,,,,,,,,,,,,Observation,Predicted tip,Residuals,Standard Residuals,Column1,Percentile,tip,,
Male,No,Sat,Dinner,3, $24.06 ,3.60,1,0,0,1,0,1,3.006361952,0.35,,,,,,,,,,,,1,3.109724536,-2.099724536,-1.525482945,,0.211864407,1,,
Male,No,Sat,Dinner,3, $16.31 ,2.00,1,0,0,1,0,1,3.006361952,1.01,,,,,,,,,,,,2,3.286489853,-1.326489853,-0.96371577,,0.63559322,1,,
Female,No,Sat,Dinner,3, $16.93 ,3.07,0,0,0,1,0,1,2.829596635,0.06,,,,,,,,,,,,3,3.286489853,-0.056489853,-0.041040768,,1.059322034,1,,
Male,No,Sat,Dinner,3, $18.69 ,2.31,1,0,0,1,0,1,3.006361952,0.48,,,,,,,,,,,,4,3.286489853,-1.576489853,-1.145344707,,1.483050847,1,,
Male,No,Sat,Dinner,3, $31.27 ,5.00,1,0,0,1,0,1,3.006361952,3.97,,,,,,,,,,,,5,3.109724536,1.890275464,1.373314896,,1.906779661,1.01,,
Male,No,Sat,Dinner,3, $16.04 ,2.24,1,0,0,1,0,1,3.006361952,0.59,,,,,,,,,,,,6,3.286489853,-1.716489853,-1.247056912,,2.330508475,1.1,,
Male,No,Sun,Dinner,2, $17.46 ,2.54,1,0,0,0,1,1,3.286489853,0.56,,,,,,,,,,,,7,3.286489853,-0.286489853,-0.20813939,,2.754237288,1.17,,
Male,No,Sun,Dinner,2, $13.94 ,3.06,1,0,0,0,1,1,3.286489853,0.05,,,,,,,,,,,,8,3.109724536,-0.089724536,-0.065186288,,3.177966102,1.25,,
Male,No,Sun,Dinner,2, $9.68 ,1.32,1,0,0,0,1,1,3.286489853,3.87,,,,,,,,,,,,9,3.286489853,0.633510147,0.460255099,,3.601694915,1.25,,
Male,No,Sun,Dinner,4, $30.40 ,5.60,1,0,0,0,1,1,3.286489853,5.35,,,,,,,,,,,,10,3.109724536,-1.439724536,-1.04598255,,4.025423729,1.25,,
Male,No,Sun,Dinner,2, $18.29 ,3.00,1,0,0,0,1,1,3.286489853,0.08,,,,,,,,,,,,11,3.286489853,0.423510147,0.307686792,,4.449152542,1.32,,
Male,No,Sun,Dinner,2, $22.23 ,5.00,1,0,0,0,1,1,3.286489853,2.94,,,,,,,,,,,,12,3.109724536,0.390275464,0.283541272,,4.872881356,1.36,,
Male,No,Sun,Dinner,4, $32.40 ,6.00,1,0,0,0,1,1,3.286489853,7.36,,,,,,,,,,,,13,3.006361952,0.343638048,0.249658454,,5.296610169,1.44,,
Male,No,Sun,Dinner,3, $28.55 ,2.05,1,0,0,0,1,1,3.286489853,1.53,,,,,,,,,,,,14,3.006361952,1.073638048,0.780014952,,5.720338983,1.44,,
Male,No,Sun,Dinner,2, $18.04 ,3.00,1,0,0,0,1,1,3.286489853,0.08,,,,,,,,,,,,15,2.829596634,-0.079596634,-0.057828209,,6.144067797,1.45,,
Male,No,Sun,Dinner,2, $12.54 ,2.50,1,0,0,0,1,1,3.286489853,0.62,,,,,,,,,,,,16,2.829596634,-0.599596634,-0.435616398,,6.56779661,1.47,,
Female,No,Sun,Dinner,2, $10.29 ,2.60,0,0,0,0,1,1,3.109724536,0.26,,,,,,,,,,,,17,3.006361952,4.573638048,3.322820076,,6.991525424,1.48,,
Female,No,Sun,Dinner,4, $34.81 ,5.20,0,0,0,0,1,1,3.109724536,4.37,,,,,,,,,,,,18,3.006361952,0.173638048,0.126150777,,7.415254237,1.5,,
Male,No,Sun,Dinner,2, $9.94 ,1.56,1,0,0,0,1,1,3.286489853,2.98,,,,,,,,,,,,19,3.006361952,-0.666361952,-0.484122453,,7.838983051,1.5,,
